freq,cluster
6612.90884,3
3757.9298,15
6562.50715,13
7524.95527,0
6186.42569,0
6755.3997,9
6632.7095,11
6720.24488,1
2754.03261,0
5592.79919,8
7354.86746,0
5363.95311,11
5515.71846,15
5671.91839,8
7624.73345,11
5608.0699,16
4155.82657,8
5828.11832,0
4668.48612,11
5533.51641,11
5872.07079,8
6515.66982,11
3013.51547,11
3906.703,0
7298.55299,16
6459.68914,6
6339.63346,22
5920.88699,11
6468.58215,3
6486.48739,22
3704.07104,12
3013.52739,11
6030.15423,13
6717.71765,15
6431.99682,20
7014.83488,1
6088.98401,9
6360.87656,9
4102.56386,9
6677.77061,18
5893.27812,9
4518.21089,14
7157.25422,11
2430.7251,8
6720.68596,7
4718.91165,11
3576.55287,6
3614.58063,9
5561.20872,12
3489.98308,20
6769.10877,9
6362.33091,16
4646.15822,8
6577.93283,6
4451.46561,11
5535.42376,14
7500.69618,18
4736.68575,12
4645.68138,11
4259.08566,9
6718.81437,9
7288.21754,13
4309.16548,11
4913.06782,0
3647.19629,8
4397.14193,7
7406.23474,11
5597.68677,11
7659.88827,9
6562.60252,20
7491.33825,4
6026.80445,12
6837.39185,12
4750.47827,20
7963.27591,11
7209.11026,8
6052.49405,14
6432.08027,18
7406.35395,11
5527.48442,13
6250.11921,18
6514.08434,11
6781.07738,12
5555.18866,11
5430.69839,11
3723.87171,12
6874.99046,8
5145.01333,12
3351.16386,9
5210.66189,18
7899.66583,9
6344.11573,14
3325.47426,12
6236.29093,2
5318.42709,13
6753.84998,6
4488.03902,6
5844.78378,11
4174.07751,12
6101.46523,13
6250.20266,15
7318.32981,11
6095.44516,14
4460.82354,11
7409.70373,9
5693.12572,9
6119.59696,9
3646.2307,0
7227.25391,9
5398.9172,4
7664.71624,12
7722.02015,14
6860.01778,4
7901.02482,18
4433.45308,12
5722.11742,22
5445.86182,12
6321.64478,12
6753.73077,9
6168.44893,22
7886.12366,13
6295.93134,2
3647.17245,8
7682.94334,8
4444.33689,11
5872.39265,8
6459.58185,13
2515.1968,13
6702.32773,9
3523.5405,3
6280.62487,15
6726.96829,15
3779.1729,12
4336.54785,11
5439.92519,0
6936.12099,11
7318.7232,12
4679.64411,7
6107.6045,4
3125.20266,9
5826.91431,9
6283.70047,15
4736.93609,11
5554.986,8
3703.9876,12
4351.46093,8
6198.6208,11
5524.83797,13
6104.25472,0
3720.77227,9
7470.42894,8
3614.56871,9
2121.31739,12
3842.87834,11
3934.7887,9
2411.91387,11
6722.04494,0
6250.0,18
5537.22382,9
4451.78747,9
5555.08137,12
6626.61791,22
3319.44227,11
4897.71366,19
3672.33753,15
3229.96378,8
7354.77209,0
4766.08276,6
5257.96413,12
6406.65293,18
7500.62466,6
7318.58015,11
6465.51847,9
4735.5175,4
7127.34461,1
6623.25621,0
6640.06472,3
7355.1774,20
6429.45766,22
6708.24051,9
7224.24984,9
7347.41688,11
4659.83152,14
6283.59318,15
2134.10854,12
6816.37526,11
6981.51588,12
6955.79052,8
6511.46173,0
7022.64309,0
6556.96392,12
3066.83779,9
6429.01659,13
5670.2733,8
6717.62228,20
3125.15497,11
4706.77614,11
6435.45389,3
3291.22543,18
7209.24139,11
3124.61853,12
5646.33608,9
7543.34927,11
5711.65085,9
5130.36251,11
5767.5004,15
5969.57207,8
5459.53512,11
6432.271,20
4233.1934,9
6446.13504,3
5282.09209,13
3318.85815,12
6555.40228,7
4685.89067,11
6699.58591,9
7224.58363,9
4412.65106,9
3703.46308,3
2102.42271,9
6095.71934,13
3575.8853,11
5471.80176,12
5345.73793,12
4477.8347,14
3123.08073,9
5488.71756,11
5679.48818,0
3459.20324,9
6365.59725,15
4735.86321,9
6749.57037,15
6681.33497,11
6972.96858,9
6227.6721,13
6298.74468,14
5890.54823,9
6033.30135,6
4432.33252,8
6176.13792,14
4294.39545,12
7377.77948,11
6789.14785,3
6247.47276,16
7347.66722,9
7314.02636,8
6687.35504,24
6720.49522,0
2919.49511,12
2075.19531,13
5600.83389,7
7309.57985,15
5525.20752,11
5306.70881,11
7345.75987,18
5746.68646,18
6456.51817,9
6473.279,9
7019.87743,21
6163.90705,11
6244.00377,11
7036.32832,9
6406.53372,14
5512.86936,9
4285.07328,9
5555.35555,9
2792.96637,11
6049.75224,13
4837.63218,12
7391.59584,7
6395.76912,12
7091.08114,11
2893.75782,11
5899.89424,2
4421.556,4
6674.98112,18
6479.66862,0
5878.66306,11
3703.41539,12
7950.18673,8
4503.53622,12
3659.3914,12
6810.40287,3
3659.42717,11
7496.40465,12
6390.1782,12
7355.10588,13
6931.53143,13
6848.43063,11
7959.11551,17
6309.64041,15
5075.5024,15
7666.02755,18
6756.98519,11
3244.24505,12
4653.73993,11
6632.48301,12
3334.70106,13
4855.54934,6
6528.13911,7
6570.63723,4
5555.42707,9
3568.98308,0
3704.32138,11
5795.0139,11
3787.82749,11
4248.79789,11
3419.6496,6
4751.08624,18
6215.54852,16
5515.75422,20
6866.58621,9
7218.95695,4
2480.45921,11
7420.67099,18
6792.41419,12
7355.02243,1
7288.22947,13
6933.35533,3
7980.68047,11
4309.1774,11
4735.76784,9
3707.2897,14
3721.65442,8
6186.52105,4
6168.67542,24
5312.50238,15
6628.28684,11
6789.05249,2
6396.10291,12
5969.89393,12
4905.74837,11
6459.77259,22
7446.43211,2
2191.28132,13
5652.58265,11
5875.53978,8
3561.48481,0
7019.78207,12
7405.37643,11
2427.08921,18
5385.69689,0
4750.99087,18
3938.62724,11
6250.67949,11
4971.06314,0
7290.13681,11
5695.21189,12
5299.17479,0
3704.35715,11
6465.76881,16
6848.2399,9
6889.28366,12
7502.28167,9
7209.68246,0
5775.65432,12
7218.49203,15
5619.44246,11
3721.10605,11
6895.30373,13
5624.98569,4
7856.09484,0
5672.40715,1
7118.2251,11
3123.06881,9
6432.58095,20
7260.99014,12
4473.18554,11
6722.29528,0
6842.35096,12
7224.94125,9
6088.03034,13
4662.97865,11
5555.24826,12
6528.03183,22
5088.19818,9
6931.9129,9
6591.79687,13
5972.89801,12
3124.51124,8
5403.97167,15
6459.85603,11
6983.28018,13
5780.07698,11
7326.29299,11
5537.42647,11
6754.3745,9
4704.05817,12
6018.40019,0
7021.27218,8
6663.00058,12
4521.70372,12
6681.6926,11
6720.73364,3
7041.13245,11
5088.01937,0
6329.67949,15
7640.94591,9
7218.8735,3
4881.87075,18
6405.24626,15
4746.89007,9
3776.3834,12
4524.95813,11
5364.26306,9
3516.88862,3
7841.18176,8
2402.29368,11
4735.99434,9
3125.42915,11
4611.48024,6
2911.38887,12
7664.74009,13
6663.26284,9
6936.62167,20
5766.64209,15
6359.76791,12
4999.99523,11
7715.15369,9
6754.26722,8
6287.12177,16
5378.1271,0
6481.36139,1
6417.69171,14
3769.48118,11
6598.05536,13
4429.60262,8
4805.75562,13
5871.46282,7
5511.62958,11
7264.36377,11
6429.94642,4
5813.62247,3
6709.2061,1
6396.3294,12
3719.55633,11
6578.24278,11
5077.66008,11
3421.9861,3
4446.41113,12
7770.99133,12
4573.45247,11
4582.8104,11
6634.54533,3
6754.68445,9
4537.4155,12
7901.94273,17
7224.72668,9
5579.74577,12
3685.42671,13
7240.1166,6
6498.1699,14
6414.71148,20
3633.04615,13
7206.95257,9
6772.50624,16
6338.50098,15
6634.64069,3
4622.2806,11
4752.81477,18
7164.43062,15
6432.96242,14
7318.73512,11
7018.69726,3
6432.48558,20
2999.41301,11
3787.81557,11
6444.75222,11
3589.11753,13
5488.87253,11
5760.66971,0
3319.69261,9
7355.24893,13
6654.36983,13
6613.42144,3
7194.7217,7
7446.71822,3
2932.66773,8
6476.90296,21
7240.20004,12
7303.92933,6
6429.51727,24
3562.40273,11
7197.95227,8
7033.84876,9
7162.91666,11
4736.35197,11
6088.28068,10
3513.33618,13
2759.08709,0
3124.84503,9
3262.79402,12
5548.05994,11
3730.89314,12
2195.0841,8
7404.07705,21
6910.81285,11
6558.88319,4
4800.08125,11
3659.67751,12
4796.73147,9
6396.2698,11
6957.75747,9
3710.59179,0
5555.52244,12
2409.17206,11
7948.81582,18
4753.14856,18
5306.73265,8
6926.16701,11
7240.42654,12
3683.9366,12
3668.08176,3
4780.41172,0
6340.30104,2
7088.70888,9
6464.89859,0
7190.07254,4
6627.08282,13
4285.5382,0
4281.07977,9
7205.39093,12
5704.68903,11
3187.6564,8
5411.63683,9
4473.47164,16
7225.09623,9
6410.03847,14
4884.75561,12
4623.75879,12
6177.74725,14
6255.37634,20
7223.64187,9
4326.59388,9
4644.97805,3
6419.40832,9
5449.71228,8
7070.45794,13
7035.29119,9
7083.80938,0
5276.58463,11
7325.43468,22
6168.84232,24
7402.63462,13
7498.46697,0
4687.5,6
6470.90673,12
5574.1787,11
5746.76991,18
5555.96352,12
6432.85513,2
5488.75332,12
5408.64468,8
7018.48269,3
6432.77168,15
4752.7194,24
7496.55962,11
6600.22497,8
6020.35522,4
2889.47821,11
5170.67909,12
7170.61758,12
6176.67437,21
4753.04127,18
4659.16395,16
5508.88777,11
3300.78602,11
5586.43341,18
5683.3744,0
5914.19935,1
6480.14545,0
5979.38299,13
5826.21098,1
5571.1031,11
4663.58662,11
3720.4504,9
5712.04424,4
3347.75448,11
3689.31293,11
3124.79734,9
6515.20491,2
5379.76027,11
3218.22166,8
7219.12384,11
4631.87695,6
5367.9347,3
7381.66571,9
6362.99849,1
3677.91653,1
6906.25906,8
7181.06031,12
6800.47274,21
6677.40107,8
6390.58352,13
6090.10458,13
6569.60011,1
6939.73303,11
7033.74147,11
2935.96983,9
6610.56042,11
5492.44881,11
6351.1014,7
4375.00477,14
6363.42764,16
4062.49762,8
5323.88687,11
5555.7251,11
5498.45695,11
5184.1259,12
7020.31851,9
6354.09355,12
3640.8186,8
7405.91288,11
7206.77376,11
7841.46786,8
5404.01936,8
6783.65231,11
6704.55694,0
6077.76642,13
5370.83149,0
3668.06984,6
6806.3736,3
7433.06875,1
5637.87222,3
7861.16123,6
7898.77176,8
4845.52383,9
5622.9353,11
7899.17707,8
5413.00774,11
6691.18166,9
7210.11162,12
3704.58364,9
6458.80699,14
6702.9953,0
5581.91538,6
7727.56338,13
3124.76158,9
7405.81751,8
5216.08591,9
7034.12294,9
6524.45555,14
7206.98833,7
3262.12645,9
7449.73421,2
3837.99076,9
6545.71056,0
7033.97989,9
3704.48828,11
2830.58882,12
4780.67398,18
3704.53596,12
7035.55346,9
7138.91983,12
7032.52554,11
6455.791,12
4471.14706,8
5733.65688,11
3748.57187,9
4036.20005,8
6402.83823,12
6994.93885,3
6336.10487,15
2929.9736,12
3813.8032,15
4516.22009,1
6058.32338,13
7870.39995,12
6621.36078,12
6393.49222,14
6122.04075,14
3646.21878,0
6533.34856,18
7358.7656,23
4440.46259,12
4653.06044,9
6463.70649,6
5053.88975,24
3575.53959,9
7228.35064,11
4871.5353,0
7207.11946,9
4862.64229,11
5304.01468,9
5959.47504,1
6395.38765,20
3750.00238,4
5636.64436,8
5556.20193,11
6754.83942,9
6418.18047,20
6859.56478,18
3630.9123,11
6768.63194,16
4704.46348,12
5498.24238,0
5556.10657,7
7404.33931,11
6931.18572,11
7898.98634,9
7407.71294,12
3351.11618,9
6287.71782,6
4537.42743,11
6601.54819,12
4631.81734,18
4736.59039,9
6329.72717,6
5983.74605,11
4806.26822,11
4446.43497,11
3057.99246,11
5386.11412,16
5634.73701,11
7005.39351,12
5618.39342,15
3532.99379,3
6168.99729,24
6317.84201,16
7295.09592,14
6120.61024,6
6087.43429,12
6674.55196,16
6433.33197,2
5767.04741,0
6776.36862,0
5424.0346,0
6642.92574,12
4237.22267,8
3576.43366,13
4504.2038,12
6570.18423,13
6698.77529,0
7551.89657,14
2539.90889,20
6442.70182,14
6381.51169,20
3606.09293,9
6541.14485,11
3489.97116,20
6946.36106,8
7154.07133,3
5622.73264,12
5016.21962,14
6456.02942,11
6524.24097,8
3437.49523,13
3376.77002,11
4735.42213,12
6079.90026,8
5447.2208,11
6351.26829,14
7498.47889,0
5466.53271,13
4370.71323,0
4522.45474,9
7641.43467,6
5549.99113,12
7436.2874,6
5555.97544,12
7296.89598,16
5163.02586,18
4528.90396,8
5178.28465,12
6431.80609,14
7296.80061,24
6931.09035,13
2979.27856,7
7406.06785,11
7016.08658,20
6747.6511,3
3291.21351,18
2136.0755,15
6456.14862,0
3542.30404,11
6916.17727,11
5489.254,11
3005.00393,11
6163.43021,14
4676.11551,3
4709.26762,11
6753.65925,8
3627.37179,3
6759.63163,12
4736.4831,11
6756.55603,13
6249.88079,16
5969.1906,13
6417.98973,18
7893.44311,9
7318.13908,11
5510.95009,12
4075.65832,11
6621.70649,0
5531.75211,15
3365.4213,18
3603.12462,11
3842.86642,11
7885.53953,12
5389.35661,0
5509.03082,9
3703.95184,11
5577.70729,11
7225.26312,11
6639.94551,3
5623.18563,9
6047.7376,7
7422.97173,2
3515.63692,7
6661.17668,9
6445.71781,9
4589.66494,12
7224.15447,9
5768.59713,20
5521.3809,8
4907.95374,12
4853.57046,3
3058.91037,11
4726.15957,13
5554.79527,14
3688.0374,11
6558.2037,11
5934.38148,11
7026.79157,11
6721.85421,0
4930.99689,3
5828.13025,0
7284.79624,9
7334.74493,1
5826.23482,1
3601.58682,7
6515.68174,11
4736.8288,11
7248.3182,12
6468.31989,9
7377.25496,11
6516.77847,8
3703.90415,11
4736.73344,9
7318.37749,14
4680.91965,4
6594.35987,4
6720.37601,0
6474.67375,0
4547.07146,9
5556.35691,11
3089.42795,13
6316.5307,16
4923.62976,13
7488.04808,18
6906.74782,11
5671.93031,9
7157.27806,9
5601.76373,12
7347.17846,11
7259.17816,11
4102.57578,11
7344.09094,9
7035.79187,9
3872.43032,7
7253.2177,24
4351.23444,9
4140.65123,0
4468.40525,22
4034.0662,8
3712.28456,11
4251.32513,12
4874.71819,16
5601.84717,13
5145.07294,9
4451.62058,9
4925.11988,15
7032.82356,9
3575.87337,11
6754.98247,9
4683.9118,8
3523.43321,3
2979.26664,7
5445.63532,12
6677.78254,18
3125.11921,9
6600.23689,8
5221.12846,6
5315.06538,0
7337.76093,4
7849.29991,11
4034.07812,9
6706.5835,16
6418.34736,20
4719.97261,11
5612.65945,12
5914.24704,3
6494.43865,3
4859.9124,9
7064.95047,11
6026.86405,18
7899.27244,8
7347.09501,11
6685.32848,0
3068.20869,11
4032.58801,13
7866.21571,9
